category,benchmark,status,error,test_coverage,fault_coverage,atpg_effectiveness,patterns,runtime_sec,detected_faults,undetected_faults,total_faults,report,patterns_file,stil_file
dirL9,b17_C,ok,,99.92,99.9,99.92,546,1.776e+09,161292,0,161450,FTL/04_Phase4_ATPG/results/dirL9/b17_C/b17_C.rpt,FTL/04_Phase4_ATPG/results/dirL9/b17_C/b17_C.pat,FTL/04_Phase4_ATPG/results/dirL9/b17_C/b17_C.stil
dirL9,b20_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/b20_C/b20_C.rpt,FTL/04_Phase4_ATPG/results/dirL9/b20_C/b20_C.pat,FTL/04_Phase4_ATPG/results/dirL9/b20_C/b20_C.stil
dirL9,b21_C,ok,,99.96,99.96,99.96,361,1.776e+09,59492,0,59514,FTL/04_Phase4_ATPG/results/dirL9/b21_C/b21_C.rpt,FTL/04_Phase4_ATPG/results/dirL9/b21_C/b21_C.pat,FTL/04_Phase4_ATPG/results/dirL9/b21_C/b21_C.stil
dirL9,b22_C,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/b22_C/b22_C.rpt,FTL/04_Phase4_ATPG/results/dirL9/b22_C/b22_C.pat,FTL/04_Phase4_ATPG/results/dirL9/b22_C/b22_C.stil
dirL9,c1908,ok,,100,100,100,56,1.776e+09,1664,0,1664,FTL/04_Phase4_ATPG/results/dirL9/c1908/c1908.rpt,FTL/04_Phase4_ATPG/results/dirL9/c1908/c1908.pat,FTL/04_Phase4_ATPG/results/dirL9/c1908/c1908.stil
dirL9,c5315,ok,,100,99.79,100,84,1.776e+09,9141,0,9160,FTL/04_Phase4_ATPG/results/dirL9/c5315/c5315.rpt,FTL/04_Phase4_ATPG/results/dirL9/c5315/c5315.pat,FTL/04_Phase4_ATPG/results/dirL9/c5315/c5315.stil
dirL9,c6288,ok,,99.61,98.23,99.62,76,1.776e+09,11302,0,11506,FTL/04_Phase4_ATPG/results/dirL9/c6288/c6288.rpt,FTL/04_Phase4_ATPG/results/dirL9/c6288/c6288.pat,FTL/04_Phase4_ATPG/results/dirL9/c6288/c6288.stil
dirL9,c7552,ok,,100,100,100,69,1.776e+09,8998,0,8998,FTL/04_Phase4_ATPG/results/dirL9/c7552/c7552.rpt,FTL/04_Phase4_ATPG/results/dirL9/c7552/c7552.pat,FTL/04_Phase4_ATPG/results/dirL9/c7552/c7552.stil
dirL9,fftmain,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/fftmain/fftmain.rpt,FTL/04_Phase4_ATPG/results/dirL9/fftmain/fftmain.pat,FTL/04_Phase4_ATPG/results/dirL9/fftmain/fftmain.stil
dirL9,filter,ok,,99.99,99.11,99.99,133,1.776e+09,170038,0,171572,FTL/04_Phase4_ATPG/results/dirL9/filter/filter.rpt,FTL/04_Phase4_ATPG/results/dirL9/filter/filter.pat,FTL/04_Phase4_ATPG/results/dirL9/filter/filter.stil
dirL9,fpu_mul,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/fpu_mul/fpu_mul.rpt,FTL/04_Phase4_ATPG/results/dirL9/fpu_mul/fpu_mul.pat,FTL/04_Phase4_ATPG/results/dirL9/fpu_mul/fpu_mul.stil
dirL9,multiplier,ok,,99.98,97.48,99.98,92,1.776e+09,60654,0,62220,FTL/04_Phase4_ATPG/results/dirL9/multiplier/multiplier.rpt,FTL/04_Phase4_ATPG/results/dirL9/multiplier/multiplier.pat,FTL/04_Phase4_ATPG/results/dirL9/multiplier/multiplier.stil
dirL9,s13207,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/s13207/s13207.rpt,FTL/04_Phase4_ATPG/results/dirL9/s13207/s13207.pat,FTL/04_Phase4_ATPG/results/dirL9/s13207/s13207.stil
dirL9,s15850,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/s15850/s15850.rpt,FTL/04_Phase4_ATPG/results/dirL9/s15850/s15850.pat,FTL/04_Phase4_ATPG/results/dirL9/s15850/s15850.stil
dirL9,s208,ok,,100,100,100,28,1.776e+09,488,0,488,FTL/04_Phase4_ATPG/results/dirL9/s208/s208.rpt,FTL/04_Phase4_ATPG/results/dirL9/s208/s208.pat,FTL/04_Phase4_ATPG/results/dirL9/s208/s208.stil
dirL9,s35932,ok,,100,100,100,15,1.776e+09,49368,0,49368,FTL/04_Phase4_ATPG/results/dirL9/s35932/s35932.rpt,FTL/04_Phase4_ATPG/results/dirL9/s35932/s35932.pat,FTL/04_Phase4_ATPG/results/dirL9/s35932/s35932.stil
dirL9,s38417,ok,,100,100,100,94,1.776e+09,65228,0,65228,FTL/04_Phase4_ATPG/results/dirL9/s38417/s38417.rpt,FTL/04_Phase4_ATPG/results/dirL9/s38417/s38417.pat,FTL/04_Phase4_ATPG/results/dirL9/s38417/s38417.stil
dirL9,s38584,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/s38584/s38584.rpt,FTL/04_Phase4_ATPG/results/dirL9/s38584/s38584.pat,FTL/04_Phase4_ATPG/results/dirL9/s38584/s38584.stil
dirL9,s5378,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/s5378/s5378.rpt,FTL/04_Phase4_ATPG/results/dirL9/s5378/s5378.pat,FTL/04_Phase4_ATPG/results/dirL9/s5378/s5378.stil
dirL9,s9234,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/s9234/s9234.rpt,FTL/04_Phase4_ATPG/results/dirL9/s9234/s9234.pat,FTL/04_Phase4_ATPG/results/dirL9/s9234/s9234.stil
dirL9,sha512,failed,returncode=0; stderr_has_error=True; has_metrics=False,,,,,,,,,FTL/04_Phase4_ATPG/results/dirL9/sha512/sha512.rpt,FTL/04_Phase4_ATPG/results/dirL9/sha512/sha512.pat,FTL/04_Phase4_ATPG/results/dirL9/sha512/sha512.stil
